"","age","ALBUMIN","BPs","CHOLESTEROL","CHOLESTEROL_LDL","CREATININE_BLOOD","FERRITIN","FIBRINOGEN","GLUCOSE_BLOOD","HEMOGLOBIN_A1C_CALCULATED","LACTIC_DEHYDROGENASE_LDH__BLOOD","TRIGLYCERIDES","PHOSPHATASE_ALKALINE","ALT_Alanine_aminotransferase_GPT","RDW","SPECIFIC_GRAVITY","TRANSFERRIN","URIC_ACID","UREA_BLOOD","PROTEIN_TOTAL_BLOOD","MCV","T3_FREE","BPd","Na","K","LYMP","GAMMA_GLUTAMYL_TRANSPEPTIDASE","AST_Aspartate_aminotransferase_GOT","BMI","BILIRUBIN_TOTAL","MONO","RBC","PHOSPHORUS_BLOOD","PLT","HCT","CALCIUM_BLOOD","CK_CREAT","MCHC","NEUT","BASOPHILES_abs","HGB","GLOBULIN","TSH_THYROID_STIMULATING_HORMONE","WBC","EOS","FOLIC_ACID","T4_FREE","IRON","MPV","CHOLESTEROL_HDL","Cl"
"HGB",32916,29085,24365,32179,13766,29082,19280,2716,16160,32796,26581,14117,26706,29043,32916,2271,8999,29074,29077,29074,32916,4436,24252,29085,29077,32795,29080,29023,32428,26694,32795,32916,29077,32915,32823,29068,14513,32823,32795,32795,32916,29074,1505,32915,32795,15884,4438,29063,32915,4500,29085
"GLOBULIN",29118,29118,23919,29102,13738,29117,17904,2669,14173,29069,26614,14089,26739,29077,29074,2241,8959,29113,29116,29118,29074,4440,23811,29117,29109,28964,29114,29061,28698,26728,28964,29074,29117,29073,29091,29106,14529,29073,28964,28964,29074,29118,1506,29074,28964,12692,4442,29098,29073,4501,29117
"TSH_THYROID_STIMULATING_HORMONE",1506,1506,1432,1506,682,1506,1505,889,757,1505,698,758,698,1506,1505,0,800,1506,1506,1506,1505,0,1419,1506,1506,1496,1506,1506,1466,698,1496,1505,1506,1505,1505,1506,0,1505,1496,1496,1505,1506,1506,1505,1496,0,0,1506,1505,1506,1506
"WBC",32915,29085,24364,32178,13765,29082,19279,2716,16159,32795,26581,14116,26706,29043,32915,2270,8999,29074,29077,29074,32915,4436,24251,29085,29077,32795,29080,29023,32427,26694,32795,32915,29077,32914,32822,29068,14513,32822,32795,32795,32915,29074,1505,32915,32795,15884,4438,29063,32914,4500,29085
"EOS",32795,28974,24261,32062,13716,28971,19198,2705,16101,32679,26484,14060,26609,28932,32795,2263,8979,28963,28966,28964,32795,4422,24150,28974,28966,32795,28969,28912,32309,26598,32795,32795,28966,32795,32703,28957,14492,32703,32795,32795,32795,28964,1496,32795,32795,15862,4424,28953,32795,4461,28974
"FOLIC_ACID",15918,12702,9417,15748,6056,12699,7483,0,7977,15894,12635,6096,12698,12695,15884,0,4832,12692,12694,12692,15884,797,9397,12702,12697,15862,12698,12680,15728,12694,15862,15884,12695,15883,15869,12685,12694,15850,15862,15862,15884,12692,0,15884,15862,15918,798,12687,15883,0,12702
"T4_FREE",4449,4445,4248,4449,2133,4444,1828,0,2153,4437,4443,2157,4445,4442,4438,2228,0,4445,4445,4442,4438,4447,4223,4445,4444,4424,4445,4442,4391,4442,4424,4438,4444,4437,4438,4445,801,4438,4424,4424,4438,4442,0,4438,4424,798,4449,4442,4437,0,4445
"IRON",29108,29108,23909,29092,13733,29107,17903,2669,14170,29060,26614,14086,26732,29075,29063,2240,8963,29101,29103,29098,29063,4440,23801,29108,29102,28953,29108,29057,28688,26730,28953,29063,29102,29062,29081,29099,14527,29062,28953,28953,29063,29098,1506,29063,28953,12687,4442,29108,29062,4501,29108
"MPV",32915,29084,24364,32178,13765,29081,19280,2716,16159,32795,26580,14116,26705,29042,32915,2271,8999,29073,29076,29073,32915,4435,24251,29084,29076,32795,29079,29022,32427,26693,32795,32915,29076,32915,32822,29067,14512,32822,32795,32795,32915,29073,1505,32914,32795,15883,4437,29062,32915,4500,29084
"CHOLESTEROL_HDL",4503,4501,4324,4502,1991,4501,4501,2664,2220,4501,2129,2227,2129,4501,4500,0,2353,4501,4501,4501,4500,0,4297,4501,4501,4461,4501,4501,4387,2129,4461,4500,4501,4500,4500,4501,0,4500,4461,4461,4500,4501,1506,4500,4461,0,0,4501,4500,4503,4501
"Cl",29131,29130,23928,29115,13744,29126,17912,2669,14182,29082,26626,14098,26751,29088,29085,2242,8965,29120,29123,29117,29085,4443,23820,29131,29123,28974,29126,29068,28711,26739,28974,29085,29122,29084,29103,29114,14538,29084,28974,28974,29085,29117,1506,29085,28974,12702,4445,29108,29084,4501,29131
